journal_id,posting_datetime,debit_account,credit_account,amount,currency,source,user_id,user_role,is_reversal,description
JE000017,2025-11-01T08:58:00,Accounts Receivable,Revenue,5882.47,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000018,2025-10-13T13:56:00,Sales Returns,Revenue,2320.65,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000019,2025-11-23T09:27:00,Sales Returns,Inventory,134131.05,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000020,2025-10-23T10:20:00,Cash,Revenue,1909.03,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000021,2025-02-26T15:00:00,Sales Returns,Inventory,2612.36,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000022,2025-11-20T08:58:00,Accounts Receivable,Inventory,6677.7,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000023,2025-10-22T16:57:00,Sales Returns,Accounts Receivable,118911.86,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000024,2025-01-31T10:23:00,Sales Returns,Revenue,19991.21,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000025,2025-03-15T10:55:00,Cash,Accounts Receivable,310313.32,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000026,2025-03-17T18:11:00,Accounts Receivable,Revenue,4799.4,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000027,2025-01-07T13:31:00,Accounts Receivable,Revenue,41747.49,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000028,2025-11-29T18:15:00,Cash,Accounts Receivable,573075.19,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000029,2025-08-07T15:21:00,Cash,Accounts Receivable,6433.52,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000030,2025-08-10T18:21:00,Accounts Receivable,Inventory,3410.6,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000031,2025-07-12T15:47:00,Sales Returns,Accounts Receivable,53364.09,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000032,2025-07-27T09:50:00,Sales Returns,Accounts Receivable,1258365.79,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000033,2025-01-08T15:13:00,Cash,Revenue,1626.04,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000034,2025-02-18T17:00:00,Sales Returns,Revenue,59370.66,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000035,2025-11-12T16:15:00,Accounts Receivable,Inventory,8510.83,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000036,2025-12-30T14:21:00,Sales Returns,Revenue,1240275.49,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000037,2025-03-14T16:45:00,Accounts Receivable,Accounts Receivable,4464.83,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000038,2025-03-14T18:08:00,Accounts Receivable,Accounts Receivable,1500478.99,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000039,2025-06-21T12:59:00,Cash,Accounts Receivable,872154.0,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000040,2025-10-11T15:16:00,Accounts Receivable,Revenue,106599.87,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000041,2025-09-15T08:27:00,Sales Returns,Revenue,3300.84,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000042,2025-06-30T10:47:00,Accounts Receivable,Inventory,43801.48,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000043,2025-12-01T12:53:00,Accounts Receivable,Accounts Receivable,90290.65,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000044,2025-03-13T12:32:00,Sales Returns,Revenue,488885.44,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000045,2025-10-29T10:01:00,Cash,Accounts Receivable,681267.53,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000046,2025-09-10T15:45:00,Accounts Receivable,Revenue,7793.6,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000047,2025-10-19T16:21:00,Cash,Revenue,2620.63,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000048,2025-06-28T18:18:00,Cash,Revenue,2930.59,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000049,2025-10-25T09:27:00,Sales Returns,Accounts Receivable,2058.34,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000050,2025-07-22T17:12:00,Accounts Receivable,Accounts Receivable,1266.01,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000051,2025-02-09T16:49:00,Cash,Revenue,144317.24,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000052,2025-04-09T11:11:00,Cash,Accounts Receivable,474765.38,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000053,2025-07-29T15:05:00,Accounts Receivable,Revenue,52241.21,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000054,2025-10-10T12:57:00,Accounts Receivable,Accounts Receivable,72945.9,CNY,subledger,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000055,2025-06-21T18:49:00,Sales Returns,Inventory,820993.34,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000056,2025-10-09T10:27:00,Cash,Inventory,183196.64,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000057,2025-04-27T15:20:00,Accounts Receivable,Revenue,37343.47,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000058,2025-07-07T13:29:00,Accounts Receivable,Revenue,62453.74,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000059,2025-03-26T08:50:00,Cash,Revenue,46168.02,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000060,2025-12-29T17:53:00,Accounts Receivable,Inventory,1061077.58,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000061,2025-09-19T09:07:00,Cash,Accounts Receivable,32697.26,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000062,2025-07-28T16:17:00,Sales Returns,Revenue,7682.63,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000063,2025-01-16T08:43:00,Sales Returns,Inventory,5801.93,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000064,2025-04-05T17:29:00,Cash,Inventory,986139.42,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000065,2025-06-13T17:14:00,Cash,Revenue,19556.47,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000066,2025-05-01T15:03:00,Accounts Receivable,Revenue,104731.73,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000067,2025-08-13T15:23:00,Accounts Receivable,Accounts Receivable,62752.32,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000068,2025-08-18T11:17:00,Sales Returns,Revenue,65101.43,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000069,2025-07-26T12:01:00,Accounts Receivable,Accounts Receivable,1919.45,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000070,2025-06-16T14:26:00,Accounts Receivable,Accounts Receivable,112659.85,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000071,2025-02-07T09:36:00,Sales Returns,Accounts Receivable,960404.73,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000072,2025-05-02T09:39:00,Accounts Receivable,Revenue,110157.29,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000073,2025-12-26T10:07:00,Cash,Revenue,1724.34,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000074,2025-03-03T12:11:00,Sales Returns,Accounts Receivable,1185742.48,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000075,2025-09-24T18:10:00,Sales Returns,Accounts Receivable,1051181.07,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000076,2025-06-18T10:23:00,Cash,Inventory,47244.26,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000077,2025-09-18T09:02:00,Sales Returns,Inventory,1102990.93,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000078,2025-10-26T14:05:00,Sales Returns,Accounts Receivable,593527.34,CNY,manual,u004,Controller,False,Synthetic journal entry for audit analytics
JE000079,2025-05-10T13:25:00,Sales Returns,Accounts Receivable,19003.31,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000080,2025-04-02T15:39:00,Cash,Accounts Receivable,5882.19,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000081,2025-10-05T15:06:00,Sales Returns,Revenue,1128861.98,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000082,2025-12-29T13:35:00,Cash,Accounts Receivable,571104.27,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000083,2025-04-29T13:44:00,Accounts Receivable,Inventory,1924.55,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000084,2025-12-09T08:31:00,Sales Returns,Inventory,63418.18,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000085,2025-03-03T15:10:00,Cash,Inventory,1397.53,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000086,2025-03-25T18:19:00,Sales Returns,Accounts Receivable,110266.66,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000087,2025-08-27T16:35:00,Accounts Receivable,Revenue,507255.45,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000088,2025-12-01T10:17:00,Sales Returns,Accounts Receivable,22301.32,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000089,2025-12-06T10:46:00,Accounts Receivable,Inventory,492109.04,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000090,2025-01-09T16:30:00,Cash,Revenue,18012.13,CNY,subledger,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000091,2025-12-30T17:45:00,Accounts Receivable,Revenue,234469.65,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000092,2025-11-24T12:49:00,Cash,Accounts Receivable,12675.02,CNY,manual,u005,CFO,False,Synthetic journal entry for audit analytics
JE000093,2025-12-19T17:31:00,Accounts Receivable,Inventory,82458.15,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000094,2025-01-03T09:43:00,Cash,Inventory,10231.59,CNY,manual,u004,Controller,False,Synthetic journal entry for audit analytics
JE000095,2025-06-11T16:39:00,Cash,Inventory,758375.03,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000096,2025-05-04T18:43:00,Cash,Inventory,333901.63,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000097,2025-07-25T17:39:00,Cash,Inventory,341262.99,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000098,2025-04-19T10:54:00,Accounts Receivable,Inventory,483278.86,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000099,2025-11-28T18:29:00,Accounts Receivable,Inventory,716521.13,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000100,2025-02-19T09:29:00,Cash,Inventory,18615.66,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000101,2025-09-29T11:43:00,Accounts Receivable,Revenue,367783.71,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000102,2025-11-22T14:05:00,Sales Returns,Inventory,1826.51,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000103,2025-05-22T16:22:00,Accounts Receivable,Inventory,3725.8,CNY,subledger,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000104,2025-06-01T09:15:00,Sales Returns,Revenue,3195.98,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000105,2025-01-19T09:52:00,Sales Returns,Accounts Receivable,1275093.79,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000106,2025-05-08T10:52:00,Sales Returns,Inventory,1096757.6,CNY,manual,u004,Controller,False,Synthetic journal entry for audit analytics
JE000107,2025-07-22T17:28:00,Sales Returns,Revenue,59185.7,CNY,subledger,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000108,2025-11-10T08:13:00,Cash,Inventory,1739.51,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000109,2025-10-31T17:00:00,Sales Returns,Revenue,36701.46,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000110,2025-12-09T11:41:00,Cash,Inventory,7271.43,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000111,2025-09-22T15:38:00,Cash,Accounts Receivable,58901.66,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000112,2025-05-30T15:31:00,Accounts Receivable,Accounts Receivable,734076.98,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000113,2025-09-27T18:09:00,Sales Returns,Revenue,353560.44,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000114,2025-10-20T10:41:00,Cash,Inventory,401477.09,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000115,2025-10-27T18:31:00,Cash,Revenue,7515.06,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000116,2025-09-13T08:20:00,Cash,Inventory,3897.76,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000117,2025-08-02T09:35:00,Cash,Revenue,1943.67,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000118,2025-01-03T15:34:00,Cash,Accounts Receivable,44742.69,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000119,2025-07-18T10:54:00,Cash,Revenue,1072127.67,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000120,2025-02-12T18:29:00,Sales Returns,Accounts Receivable,10533.13,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000121,2025-08-15T14:05:00,Cash,Accounts Receivable,908812.53,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000122,2025-04-28T15:13:00,Sales Returns,Accounts Receivable,6099.8,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000123,2025-03-20T09:08:00,Accounts Receivable,Revenue,15583.05,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000124,2025-05-13T10:20:00,Accounts Receivable,Revenue,5210.85,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000125,2025-10-23T11:30:00,Cash,Revenue,22692.27,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000126,2025-07-13T15:45:00,Sales Returns,Inventory,68883.99,CNY,subledger,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000127,2025-09-24T15:16:00,Sales Returns,Revenue,42954.43,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000128,2025-06-01T14:11:00,Sales Returns,Inventory,1766.66,CNY,subledger,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000129,2025-07-16T13:59:00,Accounts Receivable,Revenue,1010172.13,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000130,2025-01-23T17:21:00,Sales Returns,Accounts Receivable,72161.77,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000131,2025-07-02T08:21:00,Accounts Receivable,Inventory,141387.43,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000132,2025-12-03T13:55:00,Sales Returns,Inventory,560232.62,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000133,2025-12-17T14:27:00,Cash,Revenue,234043.72,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000134,2025-06-02T12:34:00,Cash,Accounts Receivable,389665.39,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000135,2025-10-09T16:13:00,Accounts Receivable,Revenue,1811.83,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000136,2025-04-01T12:44:00,Sales Returns,Revenue,11538.89,CNY,subledger,u004,Controller,False,Synthetic journal entry for audit analytics
JE000137,2025-12-10T11:00:00,Accounts Receivable,Revenue,861981.18,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000138,2025-09-23T16:39:00,Cash,Inventory,24007.19,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000139,2025-10-07T13:18:00,Sales Returns,Accounts Receivable,121244.47,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000140,2025-06-08T13:11:00,Sales Returns,Revenue,211546.79,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000141,2025-09-05T18:11:00,Cash,Revenue,137370.96,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000142,2025-11-22T17:55:00,Sales Returns,Revenue,114472.97,CNY,subledger,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000143,2025-10-30T15:04:00,Cash,Revenue,25756.62,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000144,2025-03-02T13:56:00,Sales Returns,Inventory,157001.69,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000145,2025-06-12T09:26:00,Accounts Receivable,Accounts Receivable,1496352.41,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000146,2025-09-13T17:24:00,Accounts Receivable,Revenue,43434.71,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000147,2025-09-03T17:14:00,Cash,Accounts Receivable,9058.84,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000148,2025-03-04T15:31:00,Cash,Accounts Receivable,162695.46,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000149,2025-07-16T09:09:00,Cash,Accounts Receivable,15795.5,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000150,2025-06-01T08:47:00,Accounts Receivable,Revenue,1382.95,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000151,2025-02-13T17:27:00,Accounts Receivable,Accounts Receivable,4877.4,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000152,2025-02-25T11:42:00,Accounts Receivable,Inventory,9343.4,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000153,2025-06-07T12:46:00,Cash,Revenue,11270.99,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000154,2025-07-09T10:36:00,Accounts Receivable,Revenue,12839.88,CNY,manual,u004,Controller,False,Synthetic journal entry for audit analytics
JE000155,2025-09-02T08:01:00,Cash,Inventory,85156.1,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000156,2025-12-13T16:55:00,Sales Returns,Accounts Receivable,4257.06,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000157,2025-06-01T08:15:00,Accounts Receivable,Revenue,260496.56,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000158,2025-07-16T12:06:00,Cash,Inventory,51486.01,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000159,2025-04-30T13:51:00,Cash,Inventory,7757.25,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000160,2025-12-25T18:30:00,Sales Returns,Accounts Receivable,67618.43,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000161,2025-04-23T13:42:00,Sales Returns,Inventory,1575.82,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000162,2025-11-10T18:11:00,Accounts Receivable,Inventory,809656.31,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000163,2025-08-24T08:46:00,Accounts Receivable,Accounts Receivable,386209.83,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000164,2025-11-26T11:39:00,Accounts Receivable,Accounts Receivable,235017.51,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000165,2025-01-13T17:44:00,Sales Returns,Inventory,22494.0,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000166,2025-05-29T13:19:00,Cash,Inventory,100643.95,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000167,2025-02-08T11:28:00,Cash,Inventory,12516.66,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000168,2025-04-12T14:10:00,Sales Returns,Inventory,386394.74,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000169,2025-09-11T12:49:00,Sales Returns,Inventory,260673.74,CNY,subledger,u004,Controller,False,Synthetic journal entry for audit analytics
JE000170,2025-09-28T10:01:00,Cash,Accounts Receivable,1128.43,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000171,2025-02-23T17:16:00,Accounts Receivable,Accounts Receivable,2100.14,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000172,2025-06-21T14:24:00,Sales Returns,Inventory,25329.74,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000173,2025-07-15T10:41:00,Cash,Inventory,18515.78,CNY,subledger,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000174,2025-01-23T18:38:00,Sales Returns,Revenue,2205.94,CNY,subledger,u004,Controller,False,Synthetic journal entry for audit analytics
JE000175,2025-09-14T14:52:00,Cash,Inventory,9020.94,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000176,2025-01-14T09:36:00,Sales Returns,Accounts Receivable,100634.59,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000177,2025-11-25T14:29:00,Accounts Receivable,Accounts Receivable,5184.69,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000178,2025-03-06T18:03:00,Sales Returns,Revenue,38188.0,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000179,2025-05-01T09:47:00,Accounts Receivable,Inventory,2281.29,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000180,2025-11-06T11:51:00,Sales Returns,Revenue,89869.67,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000181,2025-05-02T15:05:00,Accounts Receivable,Inventory,437593.07,CNY,subledger,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000182,2025-05-22T16:01:00,Sales Returns,Inventory,121004.88,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000183,2025-04-21T14:20:00,Sales Returns,Inventory,8930.06,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000184,2025-01-28T18:02:00,Accounts Receivable,Inventory,75361.46,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000185,2025-04-09T14:32:00,Accounts Receivable,Accounts Receivable,250895.11,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000186,2025-10-09T16:52:00,Sales Returns,Accounts Receivable,17239.52,CNY,subledger,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000187,2025-03-07T09:05:00,Cash,Inventory,1248533.48,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000188,2025-09-16T09:51:00,Sales Returns,Revenue,22643.34,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000189,2025-10-15T13:07:00,Accounts Receivable,Accounts Receivable,3063.54,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000190,2025-04-25T08:05:00,Accounts Receivable,Accounts Receivable,4306.07,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000191,2025-03-31T16:34:00,Cash,Accounts Receivable,921415.04,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000192,2025-05-31T15:58:00,Cash,Revenue,442130.52,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000193,2025-12-30T11:18:00,Accounts Receivable,Revenue,1274.95,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000194,2025-04-08T09:53:00,Accounts Receivable,Revenue,8826.64,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000195,2025-08-02T10:13:00,Accounts Receivable,Accounts Receivable,11690.19,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000196,2025-03-08T11:36:00,Cash,Accounts Receivable,4377.42,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
JE000197,2025-02-27T13:07:00,Cash,Accounts Receivable,5549.54,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000198,2025-01-28T16:27:00,Cash,Inventory,133049.45,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics
JE000199,2025-07-17T13:10:00,Sales Returns,Accounts Receivable,98933.42,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics
JE000200,2025-11-23T11:55:00,Cash,Accounts Receivable,144088.26,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000201,2025-03-19T10:31:00,Sales Returns,Accounts Receivable,8186.99,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics
JE000202,2025-03-08T12:51:00,Cash,Inventory,1954.61,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics
