transaction_id,customer_id,customer_name,region,product,invoice_date,shipment_date,recognition_date,quantity,sales_amount,cost_amount,return_amount,customer_tenure_days
INV000020,C0125,Customer 0125,Central China,Inspection camera,2025-12-07,2025-12-08,2025-12-09,3,128163.23,82024.47,0,1367
INV000021,C0066,Customer 0066,Central China,Robot arm,2025-01-03,2025-01-03,2025-01-03,9,1623400.91,1233784.69,0,845
INV000022,C0312,Customer 0312,East China,Control module,2025-06-01,2025-05-31,2025-06-01,7,112962.84,79073.99,0,2599
INV000023,C0050,Customer 0050,Export,Servo drive,2025-04-27,2025-04-27,2025-04-27,8,230901.76,166249.27,0,2241
INV000024,C0228,Customer 0228,Export,Servo drive,2025-06-02,2025-06-02,2025-06-03,8,228434.98,164473.19,0,297
INV000025,C0161,Customer 0161,North China,Industrial sensor,2025-03-28,2025-03-28,2025-03-28,10,86659.38,57195.19,0,708
INV000026,C0151,Customer 0151,West China,Inspection camera,2025-12-31,2026-01-02,2026-01-02,4,177881.89,113844.41,0,719
INV000027,C0052,Customer 0052,East China,Inspection camera,2025-04-28,2025-04-30,2025-05-01,3,128047.29,81950.27,0,2662
INV000028,C0282,Customer 0282,Export,Robot arm,2025-06-05,2025-06-07,2025-06-07,9,1800093.64,1368071.17,0,819
INV000029,C0232,Customer 0232,North China,Control module,2025-05-05,2025-05-07,2025-05-07,9,137695.66,96386.96,0,3003
INV000030,C0221,Customer 0221,North China,Robot arm,2025-12-10,2025-12-10,2025-12-11,3,553074.32,420336.48,0,2306
INV000031,C0314,Customer 0314,South China,Production cell,2025-06-07,2025-06-08,2025-06-08,1,712599.23,562953.39,0,262
INV000032,C0212,Customer 0212,Central China,Production cell,2025-04-26,2025-04-27,2025-04-27,11,7937015.47,6270242.22,0,2233
INV000033,C0315,Customer 0315,South China,Servo drive,2025-09-17,2025-09-18,2025-09-18,6,171632.69,123575.54,122787.59,2476
INV000034,C0199,Customer 0199,West China,Servo drive,2025-11-15,2025-11-15,2025-11-15,4,111042.16,79950.35,0,2165
INV000035,C0015,Customer 0015,West China,Control module,2025-02-24,2025-02-25,2025-02-26,4,59911.79,41938.25,0,693
INV000036,C0081,Customer 0081,Export,Robot arm,2025-08-11,2025-08-12,2025-08-12,4,729000.28,554040.21,0,2344
INV000037,C0060,Customer 0060,Central China,Inspection camera,2025-04-22,2025-04-22,2025-04-22,2,83426.98,53393.27,0,-118
INV000038,C0165,Customer 0165,South China,Industrial sensor,2025-06-09,2025-06-09,2025-06-09,2,18274.69,12061.29,0,1803
INV000039,C0212,Customer 0212,Central China,Production cell,2025-02-20,2025-02-20,2025-02-21,2,1431096.93,1130566.57,0,2168
INV000040,C0093,Customer 0093,Central China,Industrial sensor,2025-03-05,2025-03-05,2025-03-06,6,49426.16,32621.27,0,1807
INV000041,C0051,Customer 0051,Central China,Inspection camera,2025-10-09,2025-10-11,2025-10-12,3,117757.88,75365.04,0,2604
INV000042,C0033,Customer 0033,West China,Inspection camera,2025-08-15,2025-08-15,2025-08-15,1,41656.07,26659.89,0,2120
INV000043,C0209,Customer 0209,West China,Inspection camera,2025-04-03,2025-04-05,2025-04-05,11,430117.38,275275.12,0,941
INV000044,C0180,Customer 0180,West China,Industrial sensor,2025-03-28,2025-03-28,2025-03-28,3,26223.15,17307.28,0,1642
INV000045,C0223,Customer 0223,West China,Production cell,2025-02-22,2025-02-21,2025-02-22,4,2661202.24,2102349.77,0,1772
INV000046,C0043,Customer 0043,Export,Robot arm,2025-10-23,2025-10-24,2025-10-24,5,903091.25,686349.35,0,933
INV000047,C0310,Customer 0310,West China,Control module,2025-09-26,2025-09-25,2025-09-25,9,140358.46,98250.92,0,901
INV000048,C0149,Customer 0149,Central China,Production cell,2025-07-31,2025-08-02,2025-08-03,5,3241114.79,2560480.68,0,917
INV000049,C0265,Customer 0265,West China,Servo drive,2025-06-08,2025-06-09,2025-06-09,5,128927.09,92827.51,66894.18,287
INV000050,C0305,Customer 0305,Export,Production cell,2025-06-22,2025-06-24,2025-06-24,6,4228841.62,3340784.88,0,2174
INV000051,C0208,Customer 0208,North China,Inspection camera,2025-11-28,2025-11-28,2025-11-28,10,417430.8,267155.71,0,2564
INV000052,C0221,Customer 0221,North China,Inspection camera,2025-12-15,2025-12-15,2025-12-15,10,408202.25,261249.44,250527.19,2311
INV000053,C0180,Customer 0180,West China,Inspection camera,2025-05-09,2025-05-09,2025-05-09,1,41060.33,26278.61,0,1684
INV000054,C0151,Customer 0151,West China,Robot arm,2025-10-04,2025-10-04,2025-10-05,1,174576.81,132678.38,0,631
INV000055,C0154,Customer 0154,Export,Servo drive,2025-12-30,2025-12-29,2025-12-29,1,26207.45,18869.37,0,1890
INV000056,C0026,Customer 0026,West China,Servo drive,2025-12-29,2025-12-28,2025-12-28,10,276746.93,199257.79,0,3181
INV000057,C0056,Customer 0056,West China,Control module,2025-08-03,2025-08-02,2025-08-02,2,32584.65,22809.25,0,57
INV000058,C0037,Customer 0037,North China,Production cell,2025-10-29,2025-10-29,2025-10-30,12,8013963.04,6331030.8,0,2018
INV000059,C0288,Customer 0288,Central China,Servo drive,2025-01-13,2025-01-14,2025-01-15,7,205505.58,147964.02,0,2410
INV000060,C0027,Customer 0027,South China,Servo drive,2025-08-01,2025-08-02,2025-08-02,3,79430.78,57190.16,0,-2
INV000061,C0025,Customer 0025,West China,Inspection camera,2025-02-05,2025-02-05,2025-02-06,10,414125.83,265040.53,0,995
INV000062,C0076,Customer 0076,South China,Servo drive,2025-01-01,2025-01-01,2025-01-01,2,57607.08,41477.09,0,2223
INV000063,C0237,Customer 0237,South China,Robot arm,2025-09-26,2025-09-26,2025-09-26,3,531712.09,404101.19,0,89
INV000064,C0053,Customer 0053,West China,Inspection camera,2025-04-09,2025-04-09,2025-04-09,7,274104.88,175427.12,0,642
INV000065,C0006,Customer 0006,West China,Robot arm,2025-07-07,2025-07-08,2025-07-08,11,1912670.67,1453629.71,0,33
INV000066,C0132,Customer 0132,Central China,Servo drive,2025-02-17,2025-02-18,2025-02-18,9,249965.56,179975.21,0,1753
INV000067,C0238,Customer 0238,North China,Servo drive,2025-10-13,2025-10-13,2025-10-13,3,78154.62,56271.33,0,501
INV000068,C0200,Customer 0200,East China,Robot arm,2025-05-09,2025-05-09,2025-05-09,11,2036472.51,1547719.11,0,398
INV000069,C0185,Customer 0185,South China,Industrial sensor,2025-08-31,2025-09-01,2025-09-01,11,96041.59,63387.45,0,1573
INV000070,C0274,Customer 0274,South China,Robot arm,2025-01-26,2025-01-26,2025-01-26,6,1178050.17,895318.13,0,1048
INV000071,C0018,Customer 0018,East China,Control module,2025-06-06,2025-06-08,2025-06-08,5,78422.14,54895.5,0,1813
INV000072,C0064,Customer 0064,Central China,Production cell,2025-05-13,2025-05-13,2025-05-13,7,4433914.54,3502792.49,0,2709
INV000073,C0025,Customer 0025,West China,Servo drive,2025-02-04,2025-02-04,2025-02-04,7,179874.36,129509.54,0,994
INV000074,C0006,Customer 0006,West China,Servo drive,2025-01-16,2025-01-16,2025-01-16,4,101688.01,73215.37,0,-139
INV000075,C0267,Customer 0267,West China,Production cell,2025-07-30,2025-07-31,2025-07-31,6,4106511.44,3244144.04,0,1045
INV000076,C0347,Customer 0347,South China,Production cell,2025-10-22,2025-10-22,2025-10-23,8,5819922.54,4597738.81,0,1214
INV000077,C0334,Customer 0334,West China,Servo drive,2025-06-25,2025-06-25,2025-06-25,4,110732.69,79727.54,0,1226
INV000078,C0276,Customer 0276,West China,Production cell,2025-02-11,2025-02-10,2025-02-11,11,7943083.74,6275036.15,0,2445
INV000079,C0350,Customer 0350,West China,Production cell,2025-01-27,2025-01-27,2025-01-28,10,6298994.42,4976205.59,0,998
INV000080,C0331,Customer 0331,East China,Industrial sensor,2025-07-02,2025-07-02,2025-07-02,5,40370.72,26644.68,0,2933
INV000081,C0143,Customer 0143,Central China,Inspection camera,2025-04-20,2025-04-19,2025-04-20,11,425702.0,272449.28,0,-149
INV000082,C0202,Customer 0202,West China,Control module,2025-11-26,2025-11-26,2025-11-26,4,65234.26,45663.98,0,976
INV000083,C0221,Customer 0221,North China,Inspection camera,2025-05-27,2025-05-27,2025-05-27,7,296643.59,189851.9,0,2109
INV000084,C0189,Customer 0189,South China,Robot arm,2025-04-21,2025-04-22,2025-04-23,9,1737867.95,1320779.64,0,2912
INV000085,C0163,Customer 0163,Export,Production cell,2025-05-03,2025-05-03,2025-05-03,12,8620995.25,6810586.25,0,1163
INV000086,C0138,Customer 0138,North China,Industrial sensor,2025-04-06,2025-04-08,2025-04-08,8,65231.32,43052.67,0,877
INV000087,C0319,Customer 0319,East China,Inspection camera,2025-07-28,2025-07-28,2025-07-28,8,311427.17,199313.39,0,1499
INV000088,C0323,Customer 0323,North China,Servo drive,2025-01-24,2025-01-23,2025-01-24,8,214232.09,154247.1,0,2034
INV000089,C0262,Customer 0262,South China,Production cell,2025-08-09,2025-08-08,2025-08-08,6,4027073.05,3181387.71,0,1897
INV000090,C0029,Customer 0029,West China,Control module,2025-09-25,2025-09-26,2025-09-26,4,67734.25,47413.97,0,251
INV000091,C0136,Customer 0136,West China,Production cell,2025-11-11,2025-11-11,2025-11-11,5,3135357.56,2476932.47,0,2572
INV000092,C0141,Customer 0141,North China,Servo drive,2025-09-04,2025-09-06,2025-09-06,8,237033.78,170664.32,0,2651
INV000093,C0066,Customer 0066,Central China,Servo drive,2025-05-17,2025-05-17,2025-05-17,7,177343.35,127687.21,0,979
INV000094,C0207,Customer 0207,Export,Production cell,2025-10-14,2025-10-13,2025-10-13,1,705963.6,557711.24,0,123
INV000095,C0009,Customer 0009,Central China,Production cell,2025-01-22,2025-01-21,2025-01-21,6,4167944.58,3292676.22,0,2542
INV000096,C0010,Customer 0010,Central China,Industrial sensor,2025-10-31,2025-10-31,2025-10-31,8,71748.23,47353.83,0,419
INV000097,C0113,Customer 0113,East China,Servo drive,2025-01-20,2025-01-19,2025-01-19,8,203557.36,146561.3,0,533
INV000098,C0258,Customer 0258,East China,Inspection camera,2025-09-02,2025-09-01,2025-09-02,12,506344.02,324060.17,0,2621
INV000099,C0205,Customer 0205,East China,Industrial sensor,2025-02-09,2025-02-09,2025-02-09,5,42316.87,27929.13,0,2679
INV000100,C0096,Customer 0096,North China,Control module,2025-01-15,2025-01-14,2025-01-14,9,136290.88,95403.62,0,787
INV000101,C0003,Customer 0003,West China,Control module,2025-11-19,2025-11-19,2025-11-19,1,16937.07,11855.95,0,2330
INV000102,C0227,Customer 0227,Export,Inspection camera,2025-02-14,2025-02-14,2025-02-14,8,314419.74,201228.63,0,2577
INV000103,C0126,Customer 0126,North China,Industrial sensor,2025-01-23,2025-01-22,2025-01-22,3,25464.29,16806.43,0,133
INV000104,C0309,Customer 0309,Export,Inspection camera,2025-08-19,2025-08-19,2025-08-19,1,44456.21,28451.97,0,1888
INV000105,C0317,Customer 0317,South China,Control module,2025-03-28,2025-03-27,2025-03-27,10,166802.52,116761.77,0,768
INV000106,C0032,Customer 0032,Central China,Inspection camera,2025-03-07,2025-03-08,2025-03-09,11,488675.7,312752.45,0,226
INV000107,C0286,Customer 0286,South China,Control module,2025-03-03,2025-03-04,2025-03-04,10,167103.44,116972.41,0,1757
INV000108,C0251,Customer 0251,South China,Production cell,2025-01-12,2025-01-12,2025-01-12,7,4737762.92,3742832.71,0,2751
INV000109,C0161,Customer 0161,North China,Inspection camera,2025-01-29,2025-01-29,2025-01-29,7,316018.52,202251.85,0,650
INV000110,C0256,Customer 0256,North China,Robot arm,2025-08-01,2025-08-01,2025-08-02,3,601517.5,457153.3,0,1134
INV000111,C0281,Customer 0281,South China,Control module,2025-02-16,2025-02-18,2025-02-18,5,74179.86,51925.9,0,2194
INV000112,C0115,Customer 0115,East China,Inspection camera,2025-07-28,2025-07-28,2025-07-28,3,126341.18,80858.35,0,2081
INV000113,C0314,Customer 0314,South China,Industrial sensor,2025-03-31,2025-04-02,2025-04-02,9,80257.49,52969.94,0,194
INV000114,C0159,Customer 0159,Export,Production cell,2025-03-21,2025-03-21,2025-03-21,3,1885616.36,1489636.92,0,2384
INV000115,C0268,Customer 0268,Central China,Inspection camera,2025-04-25,2025-04-27,2025-04-27,12,542547.57,347230.45,0,1705
INV000116,C0031,Customer 0031,East China,Industrial sensor,2025-11-28,2025-11-29,2025-11-30,9,83415.43,55054.18,39479.25,2316
INV000117,C0062,Customer 0062,South China,Robot arm,2025-08-25,2025-08-25,2025-08-25,1,195537.83,148608.75,0,750
INV000118,C0074,Customer 0074,East China,Control module,2025-06-25,2025-06-27,2025-06-28,7,112219.28,78553.49,0,1762
INV000119,C0100,Customer 0100,North China,Inspection camera,2025-11-27,2025-11-27,2025-11-28,9,404672.51,258990.4,0,3141
INV000120,C0017,Customer 0017,Export,Robot arm,2025-11-26,2025-11-27,2025-11-28,3,521886.86,396634.01,0,610
INV000121,C0090,Customer 0090,North China,Control module,2025-02-18,2025-02-18,2025-02-18,9,152686.54,106880.58,0,1401
INV000122,C0011,Customer 0011,Central China,Control module,2025-03-27,2025-03-29,2025-03-30,4,63641.85,44549.29,0,2146
INV000123,C0172,Customer 0172,Export,Servo drive,2025-04-15,2025-04-15,2025-04-16,4,103425.79,74466.57,0,2461
INV000124,C0165,Customer 0165,South China,Industrial sensor,2025-01-18,2025-01-20,2025-01-20,4,36431.27,24044.64,0,1661
INV000125,C0028,Customer 0028,West China,Control module,2025-08-12,2025-08-11,2025-08-12,12,189130.27,132391.19,0,259
INV000126,C0331,Customer 0331,East China,Control module,2025-03-05,2025-03-07,2025-03-07,5,75542.08,52879.46,0,2814
INV000127,C0174,Customer 0174,West China,Servo drive,2025-10-11,2025-10-12,2025-10-13,1,27915.87,20099.42,0,356
INV000128,C0009,Customer 0009,Central China,Servo drive,2025-02-23,2025-02-23,2025-02-23,5,131289.89,94528.72,0,2574
INV000129,C0322,Customer 0322,South China,Control module,2025-01-13,2025-01-13,2025-01-13,3,46268.55,32387.98,0,2494
INV000130,C0082,Customer 0082,Export,Servo drive,2025-01-01,2025-01-01,2025-01-01,12,309821.19,223071.26,0,2737
INV000131,C0129,Customer 0129,Export,Robot arm,2025-03-01,2025-03-02,2025-03-02,4,718869.5,546340.82,0,-31
INV000132,C0069,Customer 0069,East China,Robot arm,2025-04-20,2025-04-19,2025-04-19,7,1351452.6,1027103.98,0,1437
INV000133,C0068,Customer 0068,East China,Production cell,2025-02-28,2025-02-28,2025-03-01,3,1937111.13,1530317.79,0,1440
INV000134,C0273,Customer 0273,South China,Inspection camera,2025-08-26,2025-08-28,2025-08-28,7,272648.27,174494.89,0,664
INV000135,C0088,Customer 0088,North China,Inspection camera,2025-05-27,2025-05-27,2025-05-27,9,389365.28,249193.78,0,1471
INV000136,C0229,Customer 0229,South China,Servo drive,2025-08-09,2025-08-09,2025-08-10,2,56188.71,40455.87,0,1026
INV000137,C0324,Customer 0324,West China,Inspection camera,2025-08-16,2025-08-18,2025-08-19,7,272338.24,174296.48,0,1604
INV000138,C0314,Customer 0314,South China,Inspection camera,2025-04-27,2025-04-27,2025-04-27,12,467827.66,299409.7,0,221
INV000139,C0295,Customer 0295,Export,Servo drive,2025-07-21,2025-07-21,2025-07-21,8,202778.24,146000.34,0,1216
INV000140,C0136,Customer 0136,West China,Control module,2025-12-23,2025-12-23,2025-12-23,4,60200.06,42140.04,0,2614
INV000141,C0248,Customer 0248,West China,Industrial sensor,2025-08-26,2025-08-27,2025-08-28,1,8770.42,5788.48,0,244
INV000142,C0147,Customer 0147,South China,Robot arm,2025-07-24,2025-07-23,2025-07-23,5,975630.53,741479.2,0,2082
INV000143,C0014,Customer 0014,North China,Inspection camera,2025-06-10,2025-06-10,2025-06-11,9,362526.87,232017.2,0,121
INV000144,C0348,Customer 0348,Central China,Inspection camera,2025-01-03,2025-01-04,2025-01-05,6,247512.3,158407.87,0,2170
INV000145,C0210,Customer 0210,Export,Robot arm,2025-06-04,2025-06-05,2025-06-05,1,185987.0,141350.12,0,1755
INV000146,C0128,Customer 0128,North China,Inspection camera,2025-10-21,2025-10-20,2025-10-21,3,132168.01,84587.53,0,2020
INV000147,C0171,Customer 0171,Export,Production cell,2025-05-08,2025-05-07,2025-05-07,12,8312133.53,6566585.49,7206988.86,810
INV000148,C0266,Customer 0266,West China,Inspection camera,2025-11-03,2025-11-02,2025-11-02,7,301953.71,193250.38,0,1252
INV000149,C0066,Customer 0066,Central China,Industrial sensor,2025-03-27,2025-03-26,2025-03-27,8,63481.91,41898.06,0,928
INV000150,C0075,Customer 0075,West China,Robot arm,2025-11-13,2025-11-13,2025-11-13,5,902098.08,685594.54,0,1327
INV000151,C0195,Customer 0195,West China,Servo drive,2025-03-20,2025-03-20,2025-03-21,5,131280.58,94522.02,0,2369
INV000152,C0198,Customer 0198,East China,Control module,2025-05-19,2025-05-18,2025-05-19,3,48371.12,33859.78,0,84
INV000153,C0226,Customer 0226,Central China,Robot arm,2025-08-18,2025-08-17,2025-08-17,3,520920.34,395899.46,0,390
INV000154,C0111,Customer 0111,Export,Servo drive,2025-05-29,2025-05-30,2025-05-31,8,225010.21,162007.35,0,425
INV000155,C0329,Customer 0329,North China,Control module,2025-06-29,2025-06-30,2025-06-30,2,31760.7,22232.49,0,2699
INV000156,C0111,Customer 0111,Export,Industrial sensor,2025-03-28,2025-03-30,2025-03-31,3,26746.61,17652.77,0,363
INV000157,C0303,Customer 0303,Export,Control module,2025-03-22,2025-03-22,2025-03-22,8,133180.5,93226.35,0,1271
INV000158,C0061,Customer 0061,South China,Robot arm,2025-03-30,2025-03-30,2025-03-30,5,966217.78,734325.51,0,775
INV000159,C0015,Customer 0015,West China,Control module,2025-12-10,2025-12-11,2025-12-11,11,180729.03,126510.32,0,982
INV000160,C0093,Customer 0093,Central China,Inspection camera,2025-01-29,2025-01-29,2025-01-29,5,198948.76,127327.21,0,1772
INV000161,C0257,Customer 0257,Export,Inspection camera,2025-04-07,2025-04-07,2025-04-07,2,83832.35,53652.7,0,2868
INV000162,C0078,Customer 0078,North China,Industrial sensor,2025-08-09,2025-08-11,2025-08-11,12,101997.92,67318.63,0,589
INV000163,C0037,Customer 0037,North China,Servo drive,2025-02-09,2025-02-09,2025-02-10,6,167954.23,120927.05,0,1756
INV000164,C0294,Customer 0294,West China,Servo drive,2025-08-09,2025-08-09,2025-08-09,11,304104.76,218955.43,0,1651
INV000165,C0324,Customer 0324,West China,Production cell,2025-05-18,2025-05-18,2025-05-18,9,5947124.2,4698228.12,0,1514
INV000166,C0058,Customer 0058,East China,Control module,2025-04-17,2025-04-17,2025-04-18,2,33114.87,23180.41,0,2395
INV000167,C0350,Customer 0350,West China,Robot arm,2025-01-15,2025-01-15,2025-01-15,12,2350941.92,1786715.86,0,986
INV000168,C0330,Customer 0330,East China,Robot arm,2025-12-26,2025-12-25,2025-12-25,7,1211271.51,920566.35,0,3129
INV000169,C0295,Customer 0295,Export,Servo drive,2025-12-29,2025-12-29,2025-12-29,12,351258.34,252906.0,0,1377
INV000170,C0034,Customer 0034,North China,Industrial sensor,2025-07-07,2025-07-07,2025-07-07,6,55210.56,36438.97,0,366
INV000171,C0326,Customer 0326,North China,Industrial sensor,2025-03-10,2025-03-10,2025-03-10,1,8831.96,5829.09,0,1654
INV000172,C0020,Customer 0020,Central China,Robot arm,2025-11-18,2025-11-17,2025-11-17,3,597949.8,454441.85,0,2872
INV000173,C0310,Customer 0310,West China,Control module,2025-06-19,2025-06-19,2025-06-19,2,33066.12,23146.29,0,802
INV000174,C0118,Customer 0118,East China,Production cell,2025-04-21,2025-04-21,2025-04-21,7,4871006.18,3848094.88,0,2069
INV000175,C0050,Customer 0050,Export,Robot arm,2025-08-02,2025-08-02,2025-08-02,6,1186333.14,901613.19,0,2338
INV000176,C0156,Customer 0156,Export,Production cell,2025-05-16,2025-05-17,2025-05-17,9,5641722.66,4456960.9,0,2827
INV000177,C0257,Customer 0257,Export,Production cell,2025-01-24,2025-01-25,2025-01-25,7,4660455.81,3681760.09,0,2795
INV000178,C0071,Customer 0071,East China,Control module,2025-06-17,2025-06-17,2025-06-17,9,137018.7,95913.09,0,-63
INV000179,C0216,Customer 0216,West China,Control module,2025-12-28,2025-12-28,2025-12-29,5,73046.16,51132.31,0,240
INV000180,C0191,Customer 0191,East China,Servo drive,2025-09-11,2025-09-13,2025-09-13,1,27104.83,19515.48,0,3059
INV000181,C0333,Customer 0333,Export,Production cell,2025-07-17,2025-07-16,2025-07-16,10,6844345.0,5407032.55,0,1537
INV000182,C0127,Customer 0127,North China,Inspection camera,2025-02-08,2025-02-07,2025-02-07,10,450352.02,288225.3,0,169
INV000183,C0015,Customer 0015,West China,Servo drive,2025-09-09,2025-09-09,2025-09-09,8,218279.63,157161.34,0,890
INV000184,C0285,Customer 0285,East China,Production cell,2025-09-23,2025-09-22,2025-09-22,7,4876541.28,3852467.61,0,457
INV000185,C0140,Customer 0140,Central China,Robot arm,2025-02-08,2025-02-08,2025-02-08,7,1369959.26,1041169.04,0,2843
INV000186,C0219,Customer 0219,North China,Production cell,2025-11-11,2025-11-11,2025-11-11,6,4029882.9,3183607.49,0,1416
INV000187,C0097,Customer 0097,South China,Production cell,2025-10-26,2025-10-28,2025-10-29,6,4374574.48,3455913.84,0,2343
INV000188,C0057,Customer 0057,Export,Industrial sensor,2025-09-19,2025-09-19,2025-09-20,12,102316.12,67528.64,0,445
INV000189,C0058,Customer 0058,East China,Control module,2025-09-11,2025-09-11,2025-09-12,12,182906.08,128034.26,0,2542
INV000190,C0088,Customer 0088,North China,Industrial sensor,2025-03-17,2025-03-17,2025-03-17,3,25800.19,17028.13,0,1400
INV000191,C0171,Customer 0171,Export,Industrial sensor,2025-10-11,2025-10-13,2025-10-14,3,26520.77,17503.71,0,966
INV000192,C0347,Customer 0347,South China,Robot arm,2025-08-16,2025-08-16,2025-08-17,2,391687.02,297682.13,0,1147
INV000193,C0293,Customer 0293,South China,Robot arm,2025-10-22,2025-10-21,2025-10-22,7,1358928.77,1032785.87,0,1985
INV000194,C0277,Customer 0277,Export,Servo drive,2025-11-28,2025-11-28,2025-11-29,6,164743.03,118614.98,102676.83,2145
INV000195,C0150,Customer 0150,North China,Robot arm,2025-11-25,2025-11-27,2025-11-28,4,793032.15,602704.43,0,2170
INV000196,C0277,Customer 0277,Export,Production cell,2025-10-07,2025-10-07,2025-10-07,8,5441939.97,4299132.57,0,2093
INV000197,C0096,Customer 0096,North China,Servo drive,2025-05-14,2025-05-14,2025-05-15,9,245732.71,176927.55,0,906
INV000198,C0103,Customer 0103,Export,Production cell,2025-07-28,2025-07-28,2025-07-28,5,3150888.25,2489201.72,2331890.06,588
INV000199,C0227,Customer 0227,Export,Control module,2025-03-29,2025-03-29,2025-03-30,10,146741.16,102718.81,0,2620
INV000200,C0161,Customer 0161,North China,Industrial sensor,2025-09-29,2025-09-29,2025-09-29,8,72269.12,47697.62,0,893
INV000201,C0181,Customer 0181,East China,Robot arm,2025-09-01,2025-09-01,2025-09-01,2,343986.33,261429.61,0,1894
INV000202,C0110,Customer 0110,North China,Control module,2025-09-29,2025-09-29,2025-09-29,3,46989.96,32892.97,0,84
INV000203,C0064,Customer 0064,Central China,Control module,2025-05-21,2025-05-20,2025-05-20,6,100256.15,70179.3,0,2717
INV000204,C0256,Customer 0256,North China,Robot arm,2025-11-22,2025-11-22,2025-11-23,8,1413977.33,1074622.77,0,1247
INV000205,C0157,Customer 0157,South China,Industrial sensor,2025-09-05,2025-09-05,2025-09-05,5,46249.02,30524.36,0,598
INV000206,C0085,Customer 0085,Export,Servo drive,2025-05-19,2025-05-20,2025-05-21,3,88910.74,64015.74,0,2532
INV000207,C0116,Customer 0116,North China,Production cell,2025-03-30,2025-03-29,2025-03-29,8,5240323.77,4139855.78,0,1324
INV000208,C0021,Customer 0021,Central China,Inspection camera,2025-10-20,2025-10-20,2025-10-20,5,199011.81,127367.56,0,943
INV000209,C0106,Customer 0106,Export,Servo drive,2025-03-04,2025-03-05,2025-03-05,4,104664.71,75358.59,0,1886
INV000210,C0263,Customer 0263,Central China,Robot arm,2025-04-16,2025-04-18,2025-04-18,2,380180.31,288937.04,0,2806
INV000211,C0145,Customer 0145,East China,Industrial sensor,2025-05-30,2025-05-30,2025-05-31,6,55253.73,36467.46,0,848
INV000212,C0334,Customer 0334,West China,Industrial sensor,2025-08-30,2025-08-30,2025-08-30,3,25236.34,16655.99,0,1292
INV000213,C0153,Customer 0153,West China,Control module,2025-11-22,2025-11-21,2025-11-21,7,108279.33,75795.53,0,584
INV000214,C0349,Customer 0349,East China,Control module,2025-07-18,2025-07-19,2025-07-19,7,117763.2,82434.24,0,-28
INV000215,C0184,Customer 0184,North China,Industrial sensor,2025-11-10,2025-11-09,2025-11-09,3,25686.08,16952.81,0,2066
INV000216,C0185,Customer 0185,South China,Robot arm,2025-03-16,2025-03-17,2025-03-17,7,1271573.48,966395.85,0,1405
INV000217,C0166,Customer 0166,Central China,Industrial sensor,2025-06-27,2025-06-26,2025-06-26,11,94766.04,62545.59,0,527
INV000218,C0322,Customer 0322,South China,Inspection camera,2025-01-19,2025-01-19,2025-01-19,2,81474.9,52143.94,0,2500
INV000219,C0169,Customer 0169,Export,Control module,2025-08-19,2025-08-19,2025-08-19,12,179575.46,125702.82,0,2999
