customer_id,customer_name,region,onboarding_date,credit_limit
C0307,Customer 0307,Central China,2023-01-04,5000000
C0308,Customer 0308,North China,2022-02-25,1000000
C0309,Customer 0309,Export,2020-06-18,5000000
C0310,Customer 0310,West China,2023-04-09,5000000
C0311,Customer 0311,South China,2018-01-11,1000000
C0312,Customer 0312,East China,2018-04-20,2000000
C0313,Customer 0313,Export,2025-01-06,10000000
C0314,Customer 0314,South China,2024-09-18,500000
C0315,Customer 0315,South China,2018-12-07,5000000
C0316,Customer 0316,Central China,2019-02-15,500000
C0317,Customer 0317,South China,2023-02-19,2000000
C0318,Customer 0318,Export,2020-03-22,2000000
C0319,Customer 0319,East China,2021-06-20,5000000
C0320,Customer 0320,Central China,2022-11-05,2000000
C0321,Customer 0321,Central China,2020-12-21,1000000
C0322,Customer 0322,South China,2018-03-17,10000000
C0323,Customer 0323,North China,2019-07-01,5000000
C0324,Customer 0324,West China,2021-03-26,10000000
C0325,Customer 0325,Export,2017-07-17,10000000
C0326,Customer 0326,North China,2020-08-29,500000
C0327,Customer 0327,Central China,2022-03-04,2000000
C0328,Customer 0328,West China,2023-02-15,10000000
C0329,Customer 0329,North China,2018-02-07,2000000
C0330,Customer 0330,East China,2017-06-02,10000000
C0331,Customer 0331,East China,2017-06-21,10000000
C0332,Customer 0332,West China,2022-01-28,500000
C0333,Customer 0333,Export,2021-05-02,10000000
C0334,Customer 0334,West China,2022-02-15,5000000
C0335,Customer 0335,East China,2023-01-25,1000000
C0336,Customer 0336,South China,2020-07-28,500000
C0337,Customer 0337,Central China,2018-03-07,500000
C0338,Customer 0338,West China,2018-11-20,2000000
C0339,Customer 0339,East China,2017-03-16,500000
C0340,Customer 0340,West China,2025-06-10,10000000
C0341,Customer 0341,Export,2018-05-06,2000000
C0342,Customer 0342,South China,2025-01-16,2000000
C0343,Customer 0343,South China,2022-04-13,2000000
C0344,Customer 0344,Central China,2025-01-15,1000000
C0345,Customer 0345,South China,2021-06-27,10000000
C0346,Customer 0346,Central China,2020-07-04,500000
C0347,Customer 0347,South China,2022-06-26,10000000
C0348,Customer 0348,Central China,2019-01-25,1000000
C0349,Customer 0349,East China,2025-08-15,10000000
C0350,Customer 0350,West China,2022-05-05,5000000
